"filename", "language", "HTML", "TypeScript", "SCSS", "JSON", "comment", "blank", "total"
"/home/peri/Workspaces/frontend8/src/app/core/models/DemandModels/DemandComment.model.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"/home/peri/Workspaces/frontend8/src/app/core/models/DemandModels/DemandOwner.model.ts", "TypeScript", 0, 14, 0, 0, 0, 2, 16
"/home/peri/Workspaces/frontend8/src/app/core/models/DemandModels/DemandStatusType.model.ts", "TypeScript", 0, 13, 0, 0, 0, 1, 14
"/home/peri/Workspaces/frontend8/src/app/core/models/DemandModels/DemandType.model.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"/home/peri/Workspaces/frontend8/src/app/core/models/DemandModels/ServiceType.model.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 6
"/home/peri/Workspaces/frontend8/src/app/core/models/DocumentModels/Document.model.ts", "TypeScript", 0, 4, 0, 0, 0, 1, 5
"/home/peri/Workspaces/frontend8/src/app/core/models/DocumentModels/DocumentType.model.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"/home/peri/Workspaces/frontend8/src/app/core/models/EstateModels/FlatHelperData.model.ts", "TypeScript", 0, 14, 0, 0, 0, 3, 17
"/home/peri/Workspaces/frontend8/src/app/core/models/EstateModels/ePartTypeFrnGrpType.model.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"/home/peri/Workspaces/frontend8/src/app/core/models/EstateModels/estate.model.ts", "TypeScript", 0, 51, 0, 0, 0, 5, 56
"/home/peri/Workspaces/frontend8/src/app/core/models/EstateModels/estatePart.model.ts", "TypeScript", 0, 51, 0, 0, 0, 5, 56
"/home/peri/Workspaces/frontend8/src/app/core/models/EstateModels/estatePartType.model.ts", "TypeScript", 0, 27, 0, 0, 0, 3, 30
"/home/peri/Workspaces/frontend8/src/app/core/models/EstateModels/estateType.model.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"/home/peri/Workspaces/frontend8/src/app/core/models/EstateModels/estateTypeEPartType.model.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"/home/peri/Workspaces/frontend8/src/app/core/models/EstateModels/estatesFlat.model.ts", "TypeScript", 0, 35, 0, 0, 0, 6, 41
"/home/peri/Workspaces/frontend8/src/app/core/models/EstateModels/flatType.model.ts", "TypeScript", 0, 13, 0, 0, 0, 3, 16
